0, 213
1, 204
2, 216
3, 247
4, 233
5, 226
6, 254
7, 298
8, 427
9, 658
10, 1043
11, 1389
12, 1111
13, 679
14, 357
15, 383
16, 266
17, 239
18, 229
19, 204
20, 227
21, 209
22, 227
23, 216
24, 200
25, 221
26, 382
27, 245
28, 274
29, 216
30, 230
31, 235
32, 258
33, 333
34, 442
35, 531
36, 487
37, 351
38, 258
39, 221
40, 217
41, 193
42, 199
43, 191
44, 208
45, 200
46, 190
47, 209
48, 193
49, 194
50, 208
51, 189
52, 192
53, 198
54, 193
55, 172
56, 198
57, 198
58, 277
59, 186
60, 194
61, 221
62, 193
63, 192
64, 197
65, 201
66, 194
67, 204
68, 202
69, 194
70, 206
71, 199
72, 210
73, 207
74, 193
75, 205
76, 199
77, 199
78, 203
79, 204
80, 218
81, 235
82, 267
83, 387
84, 508
85, 529
86, 403
87, 283
88, 241
89, 246
90, 268
91, 295
92, 405
93, 590
94, 751
95, 598
96, 437
97, 256
98, 231
99, 221
100, 233
101, 208
102, 202
103, 191
104, 268
105, 198
106, 200
107, 201
108, 223
109, 240
110, 263
111, 414
112, 524
113, 529
114, 352
115, 245
116, 231
117, 208
118, 212
119, 200
120, 210
121, 223
122, 210
123, 220
124, 232
125, 245
126, 295
127, 383
128, 464
129, 378
130, 290
131, 295
132, 397
133, 606
134, 747
135, 621
136, 349
137, 262
138, 233
139, 239
140, 226
141, 232
142, 201
143, 208
144, 209
145, 277
146, 204
147, 200
148, 224
149, 212
150, 218
151, 286
152, 230
153, 240
154, 228
155, 279
156, 411
157, 691
158, 1164
159, 1054
160, 699
161, 585
162, 819
163, 1018
164, 709
165, 397
166, 286
167, 247
168, 223
169, 222
170, 226
171, 247
172, 277
173, 413
174, 505
175, 485
176, 341
177, 242
178, 324
179, 252
180, 292
181, 342
182, 299
183, 250
184, 238
185, 234
186, 251
187, 261
188, 351
189, 525
190, 733
191, 591
192, 366
193, 315
194, 336
195, 228
196, 229
197, 219
198, 239
199, 236
200, 278
201, 358
202, 365
203, 301
204, 232
205, 225
206, 211
207, 206
208, 222
209, 216
210, 226
211, 245
212, 279
213, 351
214, 456
215, 425
216, 364
217, 477
218, 769
219, 1068
220, 728
221, 434
222, 290
223, 270
224, 238
225, 244
226, 249
227, 259
228, 361
229, 577
230, 748
231, 552
232, 355
233, 300
234, 428
235, 526
236, 430
237, 285
238, 224
239, 222
240, 191
241, 207
242, 206
243, 232
244, 269
245, 293
246, 303
247, 229
248, 208
249, 206
250, 190
251, 211
252, 200
253, 202
254, 197
255, 223
256, 223
257, 234
258, 273
