SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri Oct 18 13:58:40 GMT-05:00 2013
User: bianchi
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H05261
Integration Time (usec): 50000 (USB2+H05261)
Spectra Averaged: 1 (USB2+H05261)
Boxcar Smoothing: 0 (USB2+H05261)
Correct for Electrical Dark: No (USB2+H05261)
Strobe/Lamp Enabled: No (USB2+H05261)
Correct for Detector Non-linearity: No (USB2+H05261)
Correct for Stray Light: No (USB2+H05261)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
365.73	9.36
365.92	9.36
366.12	9.36
366.32	0.00
366.52	0.00
366.72	0.00
366.91	0.00
367.11	0.00
367.31	0.00
367.51	0.00
367.70	0.00
367.90	0.00
368.10	0.00
368.30	0.00
368.49	0.00
368.69	0.00
368.89	0.00
369.09	0.00
369.28	0.00
369.48	0.00
369.68	0.00
369.87	0.00
370.07	0.00
370.27	0.00
370.47	0.00
370.66	81.92
370.86	105.32
371.06	145.11
371.25	231.71
371.45	86.60
371.65	161.50
371.84	107.66
372.04	145.11
372.24	170.86
372.44	177.88
372.63	243.42
372.83	187.24
373.03	191.92
373.22	187.24
373.42	128.73
373.62	210.65
373.81	229.37
374.01	217.67
374.21	266.82
374.40	278.52
374.60	205.97
374.79	191.92
374.99	313.63
375.19	234.05
375.38	259.80
375.58	224.69
375.78	184.90
375.97	287.89
376.17	280.86
376.37	210.65
376.56	262.14
376.76	285.55
376.95	212.99
377.15	224.69
377.35	332.36
377.54	245.76
377.74	236.39
377.93	238.73
378.13	248.10
378.33	280.86
378.52	266.82
378.72	273.84
378.91	243.42
379.11	252.78
379.31	245.76
379.50	276.18
379.70	315.97
379.89	301.93
380.09	229.37
380.28	234.05
380.48	407.25
380.68	322.99
380.87	308.95
381.07	386.19
381.26	365.12
381.46	334.70
381.65	315.97
381.85	341.72
382.04	304.27
382.24	369.80
382.43	304.27
382.63	346.40
382.83	374.49
383.02	421.30
383.22	416.62
383.41	341.72
383.61	304.27
383.80	379.17
384.00	402.57
384.19	379.17
384.39	400.23
384.58	362.78
384.78	390.87
384.97	402.57
385.17	393.21
385.36	283.20
385.56	407.25
385.75	388.53
385.95	404.91
386.14	442.36
